lat,lon,elevation
47.8,10.69999999999998,771.763916015625
47.8,10.79999999999998,770.7662963867188
47.8,10.899999999999979,712.2664794921875
47.8,10.999999999999979,770.0950927734375
47.8,11.099999999999978,584.7525634765625
47.8,11.199999999999978,607.96484375
47.8,11.299999999999978,602.1909790039062
47.8,11.399999999999977,593.7391967773438
47.8,11.499999999999977,632.9735717773438
47.8,11.599999999999977,709.9317016601562
47.8,11.699999999999976,774.490966796875
47.8,11.799999999999976,674.298828125
47.8,11.899999999999975,686.18359375
47.8,11.999999999999975,479.08465576171875
47.8,12.099999999999975,458.0193786621094
47.8,12.199999999999974,527.4896240234375
47.8,12.299999999999974,600.5866088867188
47.8,12.399999999999974,530.5265502929688
47.8,12.499999999999973,530.3671875
47.8,12.599999999999973,581.2850952148438
47.8,12.699999999999973,666.5508422851562
47.8,12.799999999999972,914.7921142578125
47.8,12.899999999999972,660.1507568359375
47.8,12.999999999999972,425.0108337402344
47.8,13.099999999999971,765.05419921875
47.8,13.19999999999997,693.4879760742188
47.8,13.29999999999997,683.0926513671875
47.8,13.39999999999997,478.5506591796875
47.8,13.49999999999997,467.510986328125
47.8,13.59999999999997,787.5021362304688
47.8,13.699999999999969,1645.1734619140625
47.8,13.799999999999969,599.7057495117188
47.8,13.899999999999968,997.4734497070312
47.8,13.999999999999968,1687.1397705078125
47.8,14.099999999999968,669.4588012695312
47.8,14.199999999999967,1415.7213134765625
47.8,14.299999999999967,1211.0128173828125
47.8,14.399999999999967,1137.8333740234375
47.8,14.499999999999966,844.5839233398438
47.8,14.599999999999966,638.892578125
47.8,14.699999999999966,1068.6536865234375
47.8,14.799999999999965,701.892333984375
47.8,14.899999999999965,954.3397216796875
47.8,14.999999999999964,1147.4073486328125
47.8,15.099999999999964,1427.8695068359375
47.8,15.199999999999964,1154.16455078125
47.8,15.299999999999963,847.5699462890625
47.8,15.399999999999963,1000.2073974609375
47.8,15.499999999999963,1457.7335205078125
47.8,15.599999999999962,1538.3897705078125
47.8,15.699999999999962,670.9113159179688
47.8,15.799999999999962,936.2771606445312
47.8,15.899999999999961,850.1044311523438
47.8,16.0,586.2242431640625
47.699999999999996,5.0,462.29150390625
47.699999999999996,5.1,422.79278564453125
47.699999999999996,5.199999999999999,470.6318054199219
47.699999999999996,5.299999999999999,374.09246826171875
47.699999999999996,5.399999999999999,332.5879821777344
47.699999999999996,5.499999999999998,343.69049072265625
47.699999999999996,5.599999999999998,336.3770751953125
47.699999999999996,5.6999999999999975,363.4300842285156
47.699999999999996,5.799999999999997,268.27520751953125
47.699999999999996,5.899999999999997,312.6510925292969
47.699999999999996,5.9999999999999964,303.05938720703125
47.699999999999996,6.099999999999996,293.61761474609375
47.699999999999996,6.199999999999996,248.25296020507812
47.699999999999996,6.299999999999995,318.3123779296875
47.699999999999996,6.399999999999995,310.1381530761719
47.699999999999996,6.499999999999995,322.3937683105469
47.699999999999996,6.599999999999994,343.1754150390625
47.699999999999996,6.699999999999994,381.84552001953125
47.699999999999996,6.799999999999994,418.85919189453125
47.699999999999996,6.899999999999993,406.451416015625
47.699999999999996,6.999999999999993,385.2774353027344
47.699999999999996,7.0999999999999925,322.6551513671875
47.699999999999996,7.199999999999992,296.8803405761719
47.699999999999996,7.299999999999992,252.337890625
47.699999999999996,7.3999999999999915,264.8238525390625
47.699999999999996,7.499999999999991,235.92210388183594
47.699999999999996,7.599999999999991,318.4980773925781
47.699999999999996,7.69999999999999,546.30517578125
47.699999999999996,7.79999999999999,445.9550476074219
47.699999999999996,7.89999999999999,881.0245971679688
47.699999999999996,7.999999999999989,932.8016967773438
47.699999999999996,8.099999999999989,881.5082397460938
47.699999999999996,8.199999999999989,708.3741455078125
47.699999999999996,8.299999999999988,604.3126220703125
47.699999999999996,8.399999999999988,438.6026306152344
47.699999999999996,8.499999999999988,447.3522644042969
47.699999999999996,8.599999999999987,578.9772338867188
47.699999999999996,8.699999999999987,427.3153076171875
47.699999999999996,8.799999999999986,491.77685546875
47.699999999999996,8.899999999999986,668.0648803710938
47.699999999999996,8.999999999999986,400.6889343261719
47.699999999999996,9.099999999999985,391.3699951171875
47.699999999999996,9.199999999999985,391.3699951171875
47.699999999999996,9.299999999999985,487.80328369140625
47.699999999999996,9.399999999999984,423.0680236816406
47.699999999999996,9.499999999999984,473.87744140625
47.699999999999996,9.599999999999984,460.9681091308594
47.699999999999996,9.699999999999983,629.8109130859375
47.699999999999996,9.799999999999983,551.6181640625
47.699999999999996,9.899999999999983,679.5166015625
47.699999999999996,9.999999999999982,681.0265502929688
47.699999999999996,10.099999999999982,973.7551879882812
47.699999999999996,10.199999999999982,983.8784790039062
47.699999999999996,10.299999999999981,750.7037353515625
47.699999999999996,10.39999999999998,832.3343505859375
47.699999999999996,10.49999999999998,813.6580810546875
47.699999999999996,10.59999999999998,803.9742431640625
47.699999999999996,10.69999999999998,756.7772827148438
47.699999999999996,10.79999999999998,727.9883422851562
47.699999999999996,10.899999999999979,880.10546875
47.699999999999996,10.999999999999979,785.6680908203125
47.699999999999996,11.099999999999978,683.8467407226562
47.699999999999996,11.199999999999978,680.9219970703125
47.699999999999996,11.299999999999978,775.8690795898438
47.699999999999996,11.399999999999977,621.2755126953125
47.699999999999996,11.499999999999977,1069.93212890625
47.699999999999996,11.599999999999977,925.1817626953125
47.699999999999996,11.699999999999976,1082.98046875
47.699999999999996,11.799999999999976,1284.012451171875
47.699999999999996,11.899999999999975,816.4335327148438
47.699999999999996,11.999999999999975,1259.5863037109375
47.699999999999996,12.099999999999975,1042.7296142578125
47.699999999999996,12.199999999999974,984.4429931640625
47.699999999999996,12.299999999999974,1308.7252197265625
47.699999999999996,12.399999999999974,773.646728515625
47.699999999999996,12.499999999999973,1085.201904296875
47.699999999999996,12.599999999999973,980.0953369140625
47.699999999999996,12.699999999999973,1011.5549926757812
47.699999999999996,12.799999999999972,548.11181640625
47.699999999999996,12.899999999999972,1153.703125
47.699999999999996,12.999999999999972,1141.36669921875
47.699999999999996,13.099999999999971,450.4090881347656
47.699999999999996,13.19999999999997,932.2317504882812
47.699999999999996,13.29999999999997,1167.684326171875
47.699999999999996,13.39999999999997,737.4110107421875
47.699999999999996,13.49999999999997,739.703125
47.699999999999996,13.59999999999997,583.0330200195312
47.699999999999996,13.699999999999969,1051.8680419921875
47.699999999999996,13.799999999999969,1692.5645751953125
47.699999999999996,13.899999999999968,1715.8004150390625
47.699999999999996,13.999999999999968,2032.1832275390625
47.699999999999996,14.099999999999968,774.7952270507812
47.699999999999996,14.199999999999967,853.4699096679688
47.699999999999996,14.299999999999967,703.8438720703125
47.699999999999996,14.399999999999967,1103.8487548828125
47.699999999999996,14.499999999999966,988.0250244140625
47.699999999999996,14.599999999999966,733.3862915039062
47.699999999999996,14.699999999999966,876.3804931640625
47.699999999999996,14.799999999999965,588.3494262695312
47.699999999999996,14.899999999999965,1006.3946533203125
47.699999999999996,14.999999999999964,760.80126953125
47.699999999999996,15.099999999999964,1536.9105224609375
47.699999999999996,15.199999999999964,704.5164794921875
47.699999999999996,15.299999999999963,1057.779541015625
47.699999999999996,15.399999999999963,1514.8883056640625
47.699999999999996,15.499999999999963,1279.92041015625
47.699999999999996,15.599999999999962,1742.166015625
47.699999999999996,15.699999999999962,1661.7320556640625
47.699999999999996,15.799999999999962,684.2836303710938
47.699999999999996,15.899999999999961,633.1438598632812
47.699999999999996,16.0,438.9297790527344
47.599999999999994,5.0,433.9114074707031
47.599999999999994,5.1,323.1258850097656
47.599999999999994,5.199999999999999,357.209716796875
47.599999999999994,5.299999999999999,322.4560546875
47.599999999999994,5.399999999999999,243.48284912109375
47.599999999999994,5.499999999999998,295.9298400878906
47.599999999999994,5.599999999999998,260.2105712890625
